chapter_name,link,qns,ans
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-1-574,A class of 40 students were made to stand in a straight line. The distance between each student was equal throughout the line. The distance between the first and the last student was 156 m. What is the distance between the 3rd and the 8th student? ,20
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-1-576,"A rectangular banquet hall had light bulbs fixed onto the walls along both the lengths of the hall at equal intervals apart. In total, 382 light bulbs were used. Both walls had an equal number of light bulbs and light bulbs occupied the ends of each wall. If the distance between 2 adjacent light bulbs is 60 cm, what is the length of the wall? ",114
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-1-577,"The area of a rectangular playground is 13122 m2. The breadth of the playground is half its length. Lamp posts need to be fixed at equal intervals of 9 m along the periphery of the ground. If each corner of the playground has a lamp post, calculate the number of lamp posts that would be required. ",54
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-2-578,"1041 people took part in a marathon on a Sunday morning. The number of women was 67 more than the total number of boys and girls. The number of men who took part in the marathon was twice the number of women. If there were 66 girls, how many males took part in the marathon?",698
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-2-580,"Gerard is three times as tall as his son Daniel. Gerard is twice as tall as his daughter Stefanie. Gerard's wife, Margaret, is 60 cm taller than Stefanie. The total height of all the four people is 480 cm. (a) What is the combined height of Daniel and Stefanie? (b) How much shorter than Gerard is his wife?  Notes to students:","150,30"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-2-582,"Four food factories P, Q, R and S export a total of 70000 bottles of tomato sauce every week. Factory Q exports 1500 more bottles than Factory R. Factory R exports 6000 bottles less than Factory P. Factory P exports 3500 bottles more than Factory S. Calculate the number of bottles exported by each of the four factories.  (a)Factory P________ (b)Factory Q________ (c)Factory R________ (d)Factory S________  Note to students:","21000,16500,15000,17500"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-3-586,"Garden A, garden B and garden C had 410 snails altogether. Garden B had 5 times as many snails as garden A. Garden C had 7 times as many snails as garden B How many more snails than garden A does garden C have?   ",340
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-3-587,"A consignment of 19600 gold biscuits is to be distributed among 4 banks W, X, Y and Z Bank Y gets 3 times as many gold biscuits as Bank X. Bank Z gets 2 times as many gold biscuits as Bank Y. Bank W gets as many gold biscuits as Banks X and Y together. Calculate the total number of gold biscuits received by Bank W and Bank Z.   ",14000
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-4-591,"Teddy has 160 more stamps than Mark. After Mark gave Teddy 40 stamps, Teddy had thrice as many stamps as Mark. (a) How many stamps did Teddy have at first? (b) How many stamps did Mark have at first?  Notes to students: If the question above has parts(e.g. (a) and (b)), given that the answer for part (a) is 10 and the answer for part (b) is 12, give your answer as:10,12","320,160"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-4-593,School A has 192 more students than school B. 64 students transferred from school B to school A. School A now has 5 times as many students as school B. (a) Find the number of students in school A before the transfer. (b) Find the total number of students in both schools.  Notes to student:,"336,480"
